Prompt,Answer,Extra,Category,Decimal,ProperNameRelaxed,StrictRecognition,FullCartoucheWords,AbbreviatedCartoucheWords,HashAbbreviation,Tags
Which decimal digit is represented by relaxed syllable “mu”?,7,Nemun is the single-digit proper name.,02 Relaxed digits,7,Nemun,me,[nanpa en mun uta nanpa],[nanpa mun nanpa],#~M,digit digit::7 recognition
Encode digit 8 in preferred relaxed mode.,pi — Nepin,Preferred relaxed syllable: pi. Main abbreviated-cartouche glyph: pipi. Strict recognition form: pe.,02 Relaxed digits,8,Nepin,pe,[nanpa en pipi ike nanpa],[nanpa pipi nanpa],#~P,digit digit::8 mode::relaxed
Which decimal digit is represented by relaxed syllable “pi”?,8,Nepin is the single-digit proper name.,02 Relaxed digits,8,Nepin,pe,[nanpa en pipi ike nanpa],[nanpa pipi nanpa],#~P,digit digit::8 recognition
Encode digit 9 in preferred relaxed mode.,je — Nejen,Preferred relaxed syllable: je. Main abbreviated-cartouche glyph: jo.,02 Relaxed digits,9,Nejen,,[nanpa en jo en nanpa],[nanpa jo nanpa],#~J,digit digit::9 mode::relaxed
Which decimal digit is represented by relaxed syllable “je”?,9,Nejen is the single-digit proper name.,02 Relaxed digits,9,Nejen,,[nanpa en jo en nanpa],[nanpa jo nanpa],#~J,digit digit::9 recognition
"In strict mode, which digit is represented by “we”?",1,Preferred relaxed production uses “wa”; both are accepted in relaxed parsing.,03 Strict-mode recognition,1,Newan,we,[nanpa en wan ala nanpa],[nanpa wan nanpa],#~W,digit digit::1 mode::strict-recognition
"In strict mode, which digit is represented by “te”?",2,Preferred relaxed production uses “tu”; both are accepted in relaxed parsing.,03 Strict-mode recognition,2,Netun,te,[nanpa en tu uta nanpa],[nanpa tu nanpa],#~T,digit digit::2 mode::strict-recognition
"In strict mode, which digit is represented by “le”?",5,Preferred relaxed production uses “lu”; both are accepted in relaxed parsing.,03 Strict-mode recognition,5,Nelun,le,[nanpa en luka uta nanpa],[nanpa luka nanpa],#~L,digit digit::5 mode::strict-recognition
"In strict mode, which digit is represented by “me”?",7,Preferred relaxed production uses “mu”; both are accepted in relaxed parsing.,03 Strict-mode recognition,7,Nemun,me,[nanpa en mun uta nanpa],[nanpa mun nanpa],#~M,digit digit::7 mode::strict-recognition
"In strict mode, which digit is represented by “pe”?",8,Preferred relaxed production uses “pi”; both are accepted in relaxed parsing.,03 Strict-mode recognition,8,Nepin,pe,[nanpa en pipi ike nanpa],[nanpa pipi nanpa],#~P,digit digit::8 mode::strict-recognition
What does the marker “no” represent?,negative marker,It may occur only at the start of a number or exponent.,04 Numeric punctuation,-5,Neno Lun,,[nanpa en nena ona luka uta nanpa],[nanpa ona luka nanpa],#~oL,punctuation punctuation::negative
Which nanpa-linja-n marker represents negative marker?,no,It may occur only at the start of a number or exponent.,04 Numeric punctuation,-5,Neno Lun,,[nanpa en nena ona luka uta nanpa],[nanpa ona luka nanpa],#~oL,punctuation punctuation::negative recognition
What does the marker “none” represent?,decimal separator,Canonical split form: -n One. At least one digit appears on each side.,04 Numeric punctuation,2.5,Netun One Lun,,[nanpa en tu uta nena o nena en luka uta nanpa],[nanpa tu o luka nanpa],#~ToL,punctuation punctuation::decimal
Which nanpa-linja-n marker represents decimal separator?,none,Canonical split form: -n One. At least one digit appears on each side.,04 Numeric punctuation,2.5,Netun One Lun,,[nanpa en tu uta nena o nena en luka uta nanpa],[nanpa tu o luka nanpa],#~ToL,punctuation punctuation::decimal recognition
What does the marker “neke” represent?,ISO thousands-block marker,"Canonical split form: -n Eke; exact trailing blocks may end in Eken, Ekeken or Ekekeken.",04 Numeric punctuation,"2,345",Netun Eke Senalun,,[nanpa en tu uta nena en kulupu en seli en nena awen luka uta nanpa],[nanpa tu kulupu seli awen luka nanpa],#~TkSAL,punctuation punctuation::thousands
Which nanpa-linja-n marker represents ISO thousands-block marker?,neke,"Canonical split form: -n Eke; exact trailing blocks may end in Eken, Ekeken or Ekekeken.",04 Numeric punctuation,"2,345",Netun Eke Senalun,,[nanpa en tu uta nena en kulupu en seli en nena awen luka uta nanpa],[nanpa tu kulupu seli awen luka nanpa],#~TkSAL,punctuation punctuation::thousands recognition
What does the marker “noke” represent?,percentage marker,It occurs at the end and normally appears as final Oken.,04 Numeric punctuation,10.5%,Newanin One Lun Oken,,[nanpa en wan ala nena ijo nena o nena en luka uta nena open kipisi en nanpa],[nanpa wan ijo o luka kipisi nanpa],#~WIoLok,punctuation punctuation::percent
Which nanpa-linja-n marker represents percentage marker?,noke,It occurs at the end and normally appears as final Oken.,04 Numeric punctuation,10.5%,Newanin One Lun Oken,,[nanpa en wan ala nena ijo nena o nena en luka uta nena open kipisi en nanpa],[nanpa wan ijo o luka kipisi nanpa],#~WIoLok,punctuation punctuation::percent recognition
What does the marker “nono” represent?,numerator/denominator separator,Canonical split form: -n Ono.,04 Numeric punctuation,5/8,Nelun Ono Pin,,[nanpa en luka uta nena o nena o pipi ike nanpa],[nanpa luka o o pipi nanpa],#~LooP,punctuation punctuation::fraction
Which nanpa-linja-n marker represents numerator/denominator separator?,nono,Canonical split form: -n Ono.,04 Numeric punctuation,5/8,Nelun Ono Pin,,[nanpa en luka uta nena o nena o pipi ike nanpa],[nanpa luka o o pipi nanpa],#~LooP,punctuation punctuation::fraction recognition
What does the marker “noko” represent?,integer/fraction separator in a mixed fraction,Canonical split form: -n Oko.,04 Numeric punctuation,9¾,Nejen Oko Sen Ono Nan,,[nanpa en jo en nena open kin open seli en nena o nena o nena awen nanpa],[nanpa jo kin seli o o awen nanpa],#~JokoSooA,punctuation punctuation::mixed-fraction
Which nanpa-linja-n marker represents integer/fraction separator in a mixed fraction?,noko,Canonical split form: -n Oko.,04 Numeric punctuation,9¾,Nejen Oko Sen Ono Nan,,[nanpa en jo en nena open kin open seli en nena o nena o nena awen nanpa],[nanpa jo kin seli o o awen nanpa],#~JokoSooA,punctuation punctuation::mixed-fraction recognition
What does the marker “neko” represent?,scientific-notation marker,It marks both the ×10 element and the exponent boundary.,04 Numeric punctuation,4.5e-3,Nenan One Lun Eko Wanin Eko Nosen,,[nanpa en nena awen nena o nena en luka uta nena en kala open wan ala nena ijo nena en kala open nena ona seli en nanpa],[nanpa awen o luka kala wan ijo kala ona seli nanpa],#~AoLkoWIkooS,punctuation punctuation::scientific
Which nanpa-linja-n marker represents scientific-notation marker?,neko,It marks both the ×10 element and the exponent boundary.,04 Numeric punctuation,4.5e-3,Nenan One Lun Eko Wanin Eko Nosen,,[nanpa en nena awen nena o nena en luka uta nena en kala open wan ala nena ijo nena en kala open nena ona seli en nanpa],[nanpa awen o luka kala wan ijo kala ona seli nanpa],#~AoLkoWIkooS,punctuation punctuation::scientific recognition
What does the marker “neke” represent?,date/time separator,Context distinguishes this from ISO thousands grouping; its cartouche glyph uses kasi.,04 Numeric punctuation,14:30,Newanan Eke Senin,,[nanpa en wan ala nena awen nena en kasi en seli en nena ijo nanpa],[nanpa wan awen kasi seli ijo nanpa],#~WAkSI,punctuation punctuation::datetime
Which nanpa-linja-n marker represents date/time separator?,neke,Context distinguishes this from ISO thousands grouping; its cartouche glyph uses kasi.,04 Numeric punctuation,14:30,Newanan Eke Senin,,[nanpa en wan ala nena awen nena en kasi en seli en nena ijo nanpa],[nanpa wan awen kasi seli ijo nanpa],#~WAkSI,punctuation punctuation::datetime recognition
What does the marker “nene” represent?,no-value spacer,It can divide a long digit sequence without changing its digits or numeric value.,04 Numeric punctuation,243-555-0189,Netunasen Ene Lululun Ene Niwapijen,,[nanpa en tu uta nena awen seli en nena en nena en luka uta luka uta luka uta nena en nena en nena ijo wan ala pipi ike jo en nanpa],[nanpa tu awen seli en luka luka luka en ijo wan pipi jo nanpa],#~TASLLLIWPJ,punctuation punctuation::spacer
Which nanpa-linja-n marker represents no-value spacer?,nene,It can divide a long digit sequence without changing its digits or numeric value.,04 Numeric punctuation,243-555-0189,Netunasen Ene Lululun Ene Niwapijen,,[nanpa en tu uta nena awen seli en nena en nena en luka uta luka uta luka uta nena en nena en nena ijo wan ala pipi ike jo en nanpa],[nanpa tu awen seli en luka luka luka en ijo wan pipi jo nanpa],#~TASLLLIWPJ,punctuation punctuation::spacer recognition
Encode 125 as a preferred relaxed nanpa-linja-n proper name.,Newatulun,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,125,Newatulun,,[nanpa en wan ala tu uta luka uta nanpa],[nanpa wan tu luka nanpa],#~WTL,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Newatulun,125,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,125,Newatulun,,[nanpa en wan ala tu uta luka uta nanpa],[nanpa wan tu luka nanpa],#~WTL,conversion direction::name-to-decimal
Encode 23 as a preferred relaxed nanpa-linja-n proper name.,Netusen,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,23,Netusen,,[nanpa en tu uta seli en nanpa],[nanpa tu seli nanpa],#~TS,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Netusen,23,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,23,Netusen,,[nanpa en tu uta seli en nanpa],[nanpa tu seli nanpa],#~TS,conversion direction::name-to-decimal
Encode 100 as a preferred relaxed nanpa-linja-n proper name.,Newan Inin,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,100,Newan Inin,,[nanpa en wan ala nena ijo nena ijo nanpa],[nanpa wan ijo ijo nanpa],#~WII,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Newan Inin,100,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,100,Newan Inin,,[nanpa en wan ala nena ijo nena ijo nanpa],[nanpa wan ijo ijo nanpa],#~WII,conversion direction::name-to-decimal
"Encode 2,345 as a preferred relaxed nanpa-linja-n proper name.",Netun Eke Senalun,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,"2,345",Netun Eke Senalun,,[nanpa en tu uta nena en kulupu en seli en nena awen luka uta nanpa],[nanpa tu kulupu seli awen luka nanpa],#~TkSAL,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Netun Eke Senalun,"2,345","The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,"2,345",Netun Eke Senalun,,[nanpa en tu uta nena en kulupu en seli en nena awen luka uta nanpa],[nanpa tu kulupu seli awen luka nanpa],#~TkSAL,conversion direction::name-to-decimal
"Encode 12,000 as a preferred relaxed nanpa-linja-n proper name.",Newatun Eken,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,"12,000",Newatun Eken,,[nanpa en wan ala tu uta nena en kulupu en nena ijo nena ijo nena ijo nanpa],[nanpa wan tu kulupu ijo ijo ijo nanpa],#~WTkIII,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Newatun Eken,"12,000","The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,"12,000",Newatun Eken,,[nanpa en wan ala tu uta nena en kulupu en nena ijo nena ijo nena ijo nanpa],[nanpa wan tu kulupu ijo ijo ijo nanpa],#~WTkIII,conversion direction::name-to-decimal
Encode 007 as a preferred relaxed nanpa-linja-n proper name.,Neninimun,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,007,Neninimun,,[nanpa en nena ijo nena ijo mun uta nanpa],[nanpa ijo ijo mun nanpa],#~IIM,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Neninimun,007,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,007,Neninimun,,[nanpa en nena ijo nena ijo mun uta nanpa],[nanpa ijo ijo mun nanpa],#~IIM,conversion direction::name-to-decimal
Encode 12.04 as a preferred relaxed nanpa-linja-n proper name.,Newatun One Ninan,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,12.04,Newatun One Ninan,,[nanpa en wan ala tu uta nena o nena en nena ijo nena awen nanpa],[nanpa wan tu o ijo awen nanpa],#~WToIA,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Newatun One Ninan,12.04,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,12.04,Newatun One Ninan,,[nanpa en wan ala tu uta nena o nena en nena ijo nena awen nanpa],[nanpa wan tu o ijo awen nanpa],#~WToIA,conversion direction::name-to-decimal
Encode -0.4 as a preferred relaxed nanpa-linja-n proper name.,Neno Nin One Nan,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,-0.4,Neno Nin One Nan,,[nanpa en nena ona nena ijo nena o nena en nena awen nanpa],[nanpa ona ijo o awen nanpa],#~oIoA,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Neno Nin One Nan,-0.4,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,-0.4,Neno Nin One Nan,,[nanpa en nena ona nena ijo nena o nena en nena awen nanpa],[nanpa ona ijo o awen nanpa],#~oIoA,conversion direction::name-to-decimal
Encode 5/8 as a preferred relaxed nanpa-linja-n proper name.,Nelun Ono Pin,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,5/8,Nelun Ono Pin,,[nanpa en luka uta nena o nena o pipi ike nanpa],[nanpa luka o o pipi nanpa],#~LooP,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Nelun Ono Pin,5/8,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,5/8,Nelun Ono Pin,,[nanpa en luka uta nena o nena o pipi ike nanpa],[nanpa luka o o pipi nanpa],#~LooP,conversion direction::name-to-decimal
Encode 9¾ as a preferred relaxed nanpa-linja-n proper name.,Nejen Oko Sen Ono Nan,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,9¾,Nejen Oko Sen Ono Nan,,[nanpa en jo en nena open kin open seli en nena o nena o nena awen nanpa],[nanpa jo kin seli o o awen nanpa],#~JokoSooA,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Nejen Oko Sen Ono Nan,9¾,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,9¾,Nejen Oko Sen Ono Nan,,[nanpa en jo en nena open kin open seli en nena o nena o nena awen nanpa],[nanpa jo kin seli o o awen nanpa],#~JokoSooA,conversion direction::name-to-decimal
Encode 10.5% as a preferred relaxed nanpa-linja-n proper name.,Newanin One Lun Oken,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,10.5%,Newanin One Lun Oken,,[nanpa en wan ala nena ijo nena o nena en luka uta nena open kipisi en nanpa],[nanpa wan ijo o luka kipisi nanpa],#~WIoLok,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Newanin One Lun Oken,10.5%,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,10.5%,Newanin One Lun Oken,,[nanpa en wan ala nena ijo nena o nena en luka uta nena open kipisi en nanpa],[nanpa wan ijo o luka kipisi nanpa],#~WIoLok,conversion direction::name-to-decimal
Encode 4.5e-3 as a preferred relaxed nanpa-linja-n proper name.,Nenan One Lun Eko Wanin Eko Nosen,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,4.5e-3,Nenan One Lun Eko Wanin Eko Nosen,,[nanpa en nena awen nena o nena en luka uta nena en kala open wan ala nena ijo nena en kala open nena ona seli en nanpa],[nanpa awen o luka kala wan ijo kala ona seli nanpa],#~AoLkoWIkooS,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Nenan One Lun Eko Wanin Eko Nosen,4.5e-3,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,4.5e-3,Nenan One Lun Eko Wanin Eko Nosen,,[nanpa en nena awen nena o nena en luka uta nena en kala open wan ala nena ijo nena en kala open nena ona seli en nanpa],[nanpa awen o luka kala wan ijo kala ona seli nanpa],#~AoLkoWIkooS,conversion direction::name-to-decimal
Encode 14:30 as a preferred relaxed nanpa-linja-n proper name.,Newanan Eke Senin,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,14:30,Newanan Eke Senin,,[nanpa en wan ala nena awen nena en kasi en seli en nena ijo nanpa],[nanpa wan awen kasi seli ijo nanpa],#~WAkSI,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Newanan Eke Senin,14:30,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,14:30,Newanan Eke Senin,,[nanpa en wan ala nena awen nena en kasi en seli en nena ijo nanpa],[nanpa wan awen kasi seli ijo nanpa],#~WAkSI,conversion direction::name-to-decimal
Encode 2026-03-17 as a preferred relaxed nanpa-linja-n proper name.,Netunitunun Eke Nisen Eke Wamun,Spaces show the canonical readable split and do not change the underlying encoding.,05 Conversion practice,2026-03-17,Netunitunun Eke Nisen Eke Wamun,,[nanpa en tu uta nena ijo tu uta nena utala nena en kasi en nena ijo seli en nena en kasi en wan ala mun uta nanpa],[nanpa tu ijo tu utala kasi ijo seli kasi wan mun nanpa],#~TITUkISkWM,conversion direction::decimal-to-name
Decode this nanpa-linja-n proper name: Netunitunun Eke Nisen Eke Wamun,2026-03-17,"The original decimal notation is preserved, including leading or trailing zeros.",05 Conversion practice,2026-03-17,Netunitunun Eke Nisen Eke Wamun,,[nanpa en tu uta nena ijo tu uta nena utala nena en kasi en nena ijo seli en nena en kasi en wan ala mun uta nanpa],[nanpa tu ijo tu utala kasi ijo seli kasi wan mun nanpa],#~TITUkISkWM,conversion direction::name-to-decimal
2023-04-11,tenpo suno nanpa Netunitusen Eke Ninan Eke Wawan,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,2023-04-11,Netunitusen Eke Ninan Eke Wawan,,[nanpa en tu uta nena ijo tu uta seli en nena en kasi en nena ijo nena awen nena en kasi en wan ala wan ala nanpa],[nanpa tu ijo tu seli kasi ijo awen kasi wan wan nanpa],#~TITSkIAkWW,context direction::english-to-toki-pona
tenpo suno nanpa Netunitusen Eke Ninan Eke Wawan,2023-04-11,Recognise the encoded decimal information in context.,06 Context examples,2023-04-11,Netunitusen Eke Ninan Eke Wawan,,[nanpa en tu uta nena ijo tu uta seli en nena en kasi en nena ijo nena awen nena en kasi en wan ala wan ala nanpa],[nanpa tu ijo tu seli kasi ijo awen kasi wan wan nanpa],#~TITSkIAkWW,context direction::toki-pona-to-english
Year is 2025,tenpo sike li nanpa Netunitulun.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,2025,Netunitulun,,[nanpa en tu uta nena ijo tu uta luka uta nanpa],[nanpa tu ijo tu luka nanpa],#~TITL,context direction::english-to-toki-pona
tenpo sike li nanpa Netunitulun.,Year is 2025,Recognise the encoded decimal information in context.,06 Context examples,2025,Netunitulun,,[nanpa en tu uta nena ijo tu uta luka uta nanpa],[nanpa tu ijo tu luka nanpa],#~TITL,context direction::toki-pona-to-english
On Friday I go to sport,suno sike Nelun la mi tawa utala.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,5,Nelun,,[nanpa en luka uta nanpa],[nanpa luka nanpa],#~L,context direction::english-to-toki-pona
suno sike Nelun la mi tawa utala.,On Friday I go to sport,Recognise the encoded decimal information in context.,06 Context examples,5,Nelun,,[nanpa en luka uta nanpa],[nanpa luka nanpa],#~L,context direction::toki-pona-to-english
On 2nd of October I travel,tenpo suno nanpa tu lon mun sike Newanin la mi tawa.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,10,Newanin,,[nanpa en wan ala nena ijo nanpa],[nanpa wan ijo nanpa],#~WI,context direction::english-to-toki-pona
tenpo suno nanpa tu lon mun sike Newanin la mi tawa.,On 2nd of October I travel,Recognise the encoded decimal information in context.,06 Context examples,10,Newanin,,[nanpa en wan ala nena ijo nanpa],[nanpa wan ijo nanpa],#~WI,context direction::toki-pona-to-english
I am 37 years old,tenpo sike Nesemun la mi jan suli.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,37,Nesemun,,[nanpa en seli en mun uta nanpa],[nanpa seli mun nanpa],#~SM,context direction::english-to-toki-pona
tenpo sike Nesemun la mi jan suli.,I am 37 years old,Recognise the encoded decimal information in context.,06 Context examples,37,Nesemun,,[nanpa en seli en mun uta nanpa],[nanpa seli mun nanpa],#~SM,context direction::toki-pona-to-english
She is 29,ona li jo e tenpo sike Netujen.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,29,Netujen,,[nanpa en tu uta jo en nanpa],[nanpa tu jo nanpa],#~TJ,context direction::english-to-toki-pona
ona li jo e tenpo sike Netujen.,She is 29,Recognise the encoded decimal information in context.,06 Context examples,29,Netujen,,[nanpa en tu uta jo en nanpa],[nanpa tu jo nanpa],#~TJ,context direction::toki-pona-to-english
The meeting is at 14:30,tenpo suno la ni li lon tenpo Newanan Eke Senin.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,14:30,Newanan Eke Senin,,[nanpa en wan ala nena awen nena en kasi en seli en nena ijo nanpa],[nanpa wan awen kasi seli ijo nanpa],#~WAkSI,context direction::english-to-toki-pona
tenpo suno la ni li lon tenpo Newanan Eke Senin.,The meeting is at 14:30,Recognise the encoded decimal information in context.,06 Context examples,14:30,Newanan Eke Senin,,[nanpa en wan ala nena awen nena en kasi en seli en nena ijo nanpa],[nanpa wan awen kasi seli ijo nanpa],#~WAkSI,context direction::toki-pona-to-english
It is 07:05,tenpo ni li nanpa Nenimun Eke Nilun.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,07:05,Nenimun Eke Nilun,,[nanpa en nena ijo mun uta nena en kasi en nena ijo luka uta nanpa],[nanpa ijo mun kasi ijo luka nanpa],#~IMkIL,context direction::english-to-toki-pona
tenpo ni li nanpa Nenimun Eke Nilun.,It is 07:05,Recognise the encoded decimal information in context.,06 Context examples,07:05,Nenimun Eke Nilun,,[nanpa en nena ijo mun uta nena en kasi en nena ijo luka uta nanpa],[nanpa ijo mun kasi ijo luka nanpa],#~IMkIL,context direction::toki-pona-to-english
The logs say 21:34:56 UTC,toki pi lipu sona li toki e tenpo Netuwan Eke Senan Eke Lunun lon ma UTC.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,21:34:56,Netuwan Eke Senan Eke Lunun,,[nanpa en tu uta wan ala nena en kasi en seli en nena awen nena en kasi en luka uta nena utala nanpa],[nanpa tu wan kasi seli awen kasi luka utala nanpa],#~TWkSAkLU,context direction::english-to-toki-pona
toki pi lipu sona li toki e tenpo Netuwan Eke Senan Eke Lunun lon ma UTC.,The logs say 21:34:56 UTC,Recognise the encoded decimal information in context.,06 Context examples,21:34:56,Netuwan Eke Senan Eke Lunun,,[nanpa en tu uta wan ala nena en kasi en seli en nena awen nena en kasi en luka uta nena utala nanpa],[nanpa tu wan kasi seli awen kasi luka utala nanpa],#~TWkSAkLU,context direction::toki-pona-to-english
